Date,Open,High,Low,Close,Adj Close,Volume,12-day EMA,26-day EMA,MACD line,Signal line,MACD histogram,Up,Down,SMA Up,SMA Down,RS,RSI
12/1/2015,17719.7207,17895.5,17719.7207,17888.34961,17888.34961,103880000,17751.41772,17613.99914,137.4185849,155.4892511,-18.07066624,168.429687,0,55.15150664,45.85588729,1.202713761,54.6014549
12/2/2015,17883.14063,17901.58008,17708.19922,17729.67969,17729.67969,102860000,17748.07341,17622.56807,125.5053422,149.4924693,-23.98712719,0,158.669921,55.15150664,53.19015057,1.036874422,50.90517171
12/3/2015,17741.57031,17780.58984,17425.56055,17477.66992,17477.66992,126990000,17706.47287,17611.83487,94.63800149,138.5215758,-43.88357429,0,252.009766,55.15150664,53.03724886,1.03986364,50.97711531
12/4/2015,17482.67969,17866.4707,17482.67969,17847.63086,17847.63086,137650000,17728.18949,17629.30124,98.88824521,130.5949097,-31.70666445,369.960937,0,81.57728786,38.54938607,2.116176058,67.90938697
12/7/2015,17845.49023,17845.49023,17639.25,17730.50977,17730.50977,99670000,17728.54645,17636.79817,91.7482835,122.8255844,-31.07730093,0,117.121093,64.59374986,46.91517843,1.37681987,57.92697576
12/8/2015,17703.99023,17703.99023,17485.39063,17568,17568,113720000,17703.847,17631.70201,72.1449899,112.6894655,-40.54447562,0,162.509766,64.13016171,58.52301886,1.095810896,52.28577149
12/9/2015,17558.17969,17767.68945,17403.50977,17492.30078,17492.30078,122020000,17671.30143,17621.37599,49.92543482,100.1366594,-50.21122456,0,75.699219,46.44015057,63.93010593,0.726420673,42.0766899
12/10/2015,17493.16992,17697.74023,17474.66016,17574.75,17574.75,107310000,17656.44736,17617.92221,38.52514636,87.81435678,-49.28921042,82.449219,0,52.3293805,63.61509479,0.822593768,45.1331384
12/11/2015,17574.75,17574.75,17230.5,17265.21094,17265.21094,134510000,17596.25714,17591.79545,4.461688662,71.14382315,-66.68213449,0,309.539062,45.82505571,85.72502779,0.534558657,34.83468387
12/14/2015,17277.10938,17378.01953,17138.4707,17368.5,17368.5,142540000,17561.21758,17575.25505,-14.0374677,54.10756498,-68.14503269,103.289062,0,53.20284586,83.501395,0.637149186,38.9182117
12/15/2015,17374.7793,17627.63086,17341.17969,17524.91016,17524.91016,123430000,17555.63182,17571.5258,-15.89397415,40.10725716,-56.0012313,156.410156,0,62.98144521,83.501395,0.754256204,42.99578375
12/16/2015,17530.84961,17784.35938,17483.67969,17749.08984,17749.08984,123790000,17585.3946,17584.67869,0.715905877,32.2289869,-31.51308102,224.179688,0,78.90848207,83.501395,0.944995974,48.58601182
12/17/2015,17756.53906,17796.75977,17493.5,17495.83984,17495.83984,115780000,17571.61694,17578.09804,-6.481093031,24.48697091,-30.96806395,0,253.25,78.90848207,101.5906807,0.776729534,43.71681334
12/18/2015,17495.03906,17496.58008,17124.31055,17128.55078,17128.55078,344560000,17503.45292,17544.79824,-41.34532121,11.32051249,-52.6658337,0,367.289063,78.90848207,121.149135,0.651333434,39.44287812
12/21/2015,17154.93945,17272.35938,17116.73047,17251.61914,17251.61914,114910000,17464.70926,17523.08127,-58.37200892,-2.617991792,-55.75401713,123.06836,0,75.66838729,121.149135,0.624588754,38.44596071
12/22/2015,17253.55078,17451.10938,17242.85938,17417.26953,17417.26953,91570000,17457.41084,17515.24336,-57.83252221,-13.66089788,-44.17162433,165.65039,0,87.500558,109.8155692,0.79679556,44.3453656
12/23/2015,17427.63086,17607.91992,17427.63086,17602.60938,17602.60938,92820000,17479.74908,17521.71492,-41.96584253,-19.32188681,-22.64395572,185.339844,0,100.7391183,91.81487164,1.09719827,52.3173362
12/24/2015,17593.25977,17606.33984,17543.94922,17552.16992,17552.16992,40350000,17490.89074,17523.97084,-33.08010008,-22.07352946,-11.00657062,0,50.439453,74.31333707,95.41768971,0.778821383,43.78300095
12/28/2015,17535.66016,17536.90039,17437.33984,17528.26953,17528.26953,59770000,17496.64133,17524.28927,-27.64793876,-23.18841132,-4.45952744,0,23.900391,74.31333707,88.75906814,0.837247829,45.57076163
12/29/2015,17547.36914,17750.01953,17547.36914,17720.98047,17720.98047,69860000,17531.15504,17538.85898,-7.703943369,-20.09151773,12.38757436,192.710938,0,88.07840407,77.15122771,1.141633214,53.30666365
12/30/2015,17711.93945,17714.13086,17588.86914,17603.86914,17603.86914,59760000,17542.34183,17543.67455,-1.332725927,-16.33975937,15.00703344,0,117.111328,88.07840407,80.1092355,1.099478774,52.36913027
12/31/2015,17590.66016,17590.66016,17421.16016,17425.0293,17425.0293,93690000,17524.29374,17534.88601,-10.59226989,-15.19026147,4.597991583,0,178.839844,82.18917414,92.88351007,0.884862922,46.945744
1/4/2016,17405.48047,17405.48047,16957.63086,17148.93945,17148.93945,148060000,17466.54693,17506.29738,-39.75044978,-20.10229914,-19.64815065,0,276.089844,82.18917414,90.49428021,0.908225072,47.59528031
1/5/2016,17147.5,17195.83984,17038.60938,17158.66016,17158.66016,105750000,17419.17973,17480.54647,-61.36674035,-28.35518738,-33.01155297,9.720703,0,75.50571993,90.49428021,0.834370081,45.48537341
1/6/2016,17154.83008,17154.83008,16817.61914,16906.50977,16906.50977,120250000,17340.30743,17438.02524,-97.71780549,-42.227711,-55.49009449,0,252.15039,64.33356593,108.5050224,0.592908646,37.22176082
1/7/2016,16888.35938,16888.35938,16463.63086,16514.09961,16514.09961,176240000,17213.19854,17369.5863,-156.3877658,-65.05972197,-91.32804388,0,392.410157,48.32073107,136.5343193,0.353909049,26.13979492
1/8/2016,16519.16992,16651.89063,16314.57031,16346.4502,16346.4502,141850000,17079.85264,17293.79844,-213.9458047,-94.83693851,-119.1088662,0,167.649414,48.32073107,130.4199917,0.370500952,27.0339799
1/11/2016,16358.70996,16461.84961,16232.03027,16398.57031,16398.57031,127790000,16975.03997,17227.48525,-252.4452752,-126.3586058,-126.0866694,52.120118,0,52.04359664,104.1850586,0.499530329,33.31245254
1/12/2016,16419.10938,16591.34961,16322.07031,16516.2207,16516.2207,117480000,16904.45239,17174.79898,-270.3465925,-155.1562032,-115.1903893,117.65039,0,51.65659879,104.1850586,0.495815806,33.14684895
1/13/2016,16526.63086,16593.50977,16123.2002,16151.41016,16151.41016,153530000,16788.59974,17098.9924,-310.3926643,-186.2034954,-124.1891689,0,364.810547,39.82442807,130.2429549,0.305770305,23.41685242
1/14/2016,16159.00977,16482.05078,16075.12012,16379.04981,16379.04981,158830000,16725.59206,17045.66332,-320.0712652,-212.9770494,-107.0942158,227.639649,0,42.84584271,130.2429549,0.328968601,24.75367749
1/15/2016,16354.33008,16354.33008,15842.11035,15988.08008,15988.08008,239210000,16612.12868,16967.32382,-355.1951471,-241.4206689,-113.7744782,0,390.969727,42.84584271,154.5665459,0.277199975,21.7037254
1/19/2016,16009.4502,16171.95996,15900.25,16016.01953,16016.01953,144360000,16520.41958,16896.85684,-376.4372618,-268.4239875,-108.0132743,27.939453,0,44.84151793,152.8593751,0.293351441,22.68149488
1/20/2016,15989.4502,15989.4502,15450.55957,15766.74023,15766.74023,191870000,16404.46891,16813.1445,-408.6755888,-296.4743078,-112.2012811,0,249.279297,31.07645093,170.6650391,0.182090316,15.40409507
1/21/2016,15768.87012,16038.58984,15704.66016,15882.67969,15882.67969,145140000,16324.19364,16744.22118,-420.0275344,-321.1849531,-98.84258129,115.939454,0,39.3578405,162.2999443,0.242500641,19.51714413
1/22/2016,15921.09961,16136.79004,15921.09961,16093.50977,16093.50977,145850000,16288.70382,16696.02033,-407.3165164,-338.4112657,-68.90525066,210.830078,0,54.41713179,149.5256697,0.363931704,26.68254598
1/25/2016,16086.45996,16086.45996,15880.15039,15885.21973,15885.21973,123250000,16226.62934,16635.96103,-409.3316876,-352.5953501,-56.73633748,0,208.290039,54.41713179,144.6828265,0.376113276,27.33156363
