Date,Open,High,Low,Close,Adj Close,Volume,12-day EMA,26-day EMA,MACD line,Signal line,MACD histogram,Up,Down,SMA Up,SMA Down,RS,RSI
11/6/2015,30.2775,30.452499,30.155001,30.264999,28.088,132169200,27.5758,27.0377,0.5381,0.3668,0.1713,0.0325,0,0.273121429,0.110607143,2.469292864,71.17568222
11/9/2015,30.24,30.452499,30.012501,30.1425,27.9743,135485600,27.6371,27.1071,0.53,0.3994,0.1306,0,0.1137,0.239457143,0.118728571,2.016845145,66.85278985
11/10/2015,29.225,29.5175,29.014999,29.192499,27.0927,236511600,27.5533,27.106,0.4473,0.409,0.0383,0,0.8817,0.239457143,0.181542857,1.319011646,56.8781812
11/11/2015,29.092501,29.355,28.8025,29.0275,26.9395,180872000,27.4589,27.0937,0.3652,0.4003,-0.035,0,0.1531,0.210742857,0.192478571,1.094889969,52.26479602
11/12/2015,29.065001,29.205,28.9125,28.93,26.8491,130102400,27.3651,27.0756,0.2895,0.3781,-0.0886,0,0.0905,0.151664286,0.198942857,0.762350998,43.25761434
11/13/2015,28.799999,28.8925,28.067499,28.084999,26.0648,183249600,27.1651,27.0007,0.1644,0.3354,-0.171,0,0.7842,0.151664286,0.19225,0.788890953,44.09944338
11/16/2015,27.844999,28.559999,27.75,28.545,26.4918,152426800,27.0615,26.963,0.0985,0.288,-0.1895,0.4269,0,0.182157143,0.1802,1.010860948,50.27005717
11/17/2015,28.73,28.762501,28.33,28.422501,26.3781,110467600,26.9563,26.9197,0.0367,0.2377,-0.2011,0,0.1137,0.104264286,0.188321429,0.553650673,35.63546702
11/18/2015,28.940001,29.372499,28.875,29.3225,27.2133,186698800,26.9959,26.9414,0.0545,0.2011,-0.1466,0.8353,0,0.143135714,0.188321429,0.760060687,43.18377726
11/19/2015,29.41,29.9375,29.190001,29.695,27.559,173183200,27.0825,26.9872,0.0953,0.1799,-0.0846,0.3457,0,0.167828571,0.171321429,0.979612258,49.48505718
11/20/2015,29.799999,29.98,29.7125,29.825001,27.6797,137148400,27.1744,27.0385,0.1359,0.1711,-0.0352,0.1206,0,0.148721429,0.171321429,0.868084219,46.46922287
11/23/2015,29.817499,29.932501,29.334999,29.4375,27.3201,129930000,27.1968,27.0593,0.1375,0.1644,-0.0269,0,0.3596,0.125785714,0.197007143,0.638483014,38.96793609
11/24/2015,29.3325,29.8375,29.280001,29.719999,27.5822,171212800,27.2561,27.0981,0.158,0.1631,-0.0051,0.2622,0,0.144514286,0.1876,0.770332013,43.51342051
11/25/2015,29.8025,29.807501,29.48,29.5075,27.385,85553200,27.2759,27.1193,0.1566,0.1618,-0.0052,0,0.1972,0.144514286,0.192407143,0.751085867,42.89257775
11/27/2015,29.5725,29.602501,29.4,29.452499,27.334,52185600,27.2849,27.1352,0.1496,0.1594,-0.0097,0,0.051,0.142192857,0.19605,0.725288738,42.03868733
11/30/2015,29.497499,29.852501,29.4375,29.575001,27.4477,156721200,27.3099,27.1584,0.1515,0.1578,-0.0063,0.1137,0,0.150314286,0.187928571,0.799847967,44.43975166
12/1/2015,29.6875,29.702499,29.215,29.334999,27.2249,139409600,27.2968,27.1633,0.1335,0.153,-0.0194,0,0.2227,0.150314286,0.140857143,1.067139959,51.62398194
12/2/2015,29.334999,29.5275,29.02,29.07,26.979,133546400,27.2479,27.1496,0.0983,0.142,-0.0437,0,0.2459,0.150314286,0.147485714,1.019178613,50.47491125
12/3/2015,29.137501,29.1975,28.555,28.799999,26.7284,166278000,27.168,27.1184,0.0496,0.1235,-0.074,0,0.2506,0.150314286,0.158921429,0.945840262,48.60832005
